File name,Plain text,SSML
Untitled-0001,"usually
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""cff02830-c816-45bf-ba0c-ab8bd0210a5e"",""Name"":""en-US-Ava:DragonHDLatestNeural"",""ShortName"":""en-US-Ava:DragonHDLatestNeural"",""Locale"":""en-us"",""VoiceType"":""StandardVoice""}]}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""en-US""><voice name=""en-US-Ava:DragonHDLatestNeural"">usually
</voice></speak>"
Untitled-0002,"the pills
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""cff02830-c816-45bf-ba0c-ab8bd0210a5e"",""Name"":""en-US-Ava:DragonHDLatestNeural"",""ShortName"":""en-US-Ava:DragonHDLatestNeural"",""Locale"":""en-us"",""VoiceType"":""StandardVoice""}]}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""en-US""><voice name=""en-US-Ava:DragonHDLatestNeural"">the pills
</voice></speak>"
Untitled-0003,"for the ailments
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""cff02830-c816-45bf-ba0c-ab8bd0210a5e"",""Name"":""en-US-Ava:DragonHDLatestNeural"",""ShortName"":""en-US-Ava:DragonHDLatestNeural"",""Locale"":""en-us"",""VoiceType"":""StandardVoice""}]}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""en-US""><voice name=""en-US-Ava:DragonHDLatestNeural"">for the ailments
</voice></speak>"
Untitled-0004,"evidently
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""cff02830-c816-45bf-ba0c-ab8bd0210a5e"",""Name"":""en-US-Ava:DragonHDLatestNeural"",""ShortName"":""en-US-Ava:DragonHDLatestNeural"",""Locale"":""en-us"",""VoiceType"":""StandardVoice""}]}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""en-US""><voice name=""en-US-Ava:DragonHDLatestNeural"">evidently
</voice></speak>"
Untitled-0005,"are
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""cff02830-c816-45bf-ba0c-ab8bd0210a5e"",""Name"":""en-US-Ava:DragonHDLatestNeural"",""ShortName"":""en-US-Ava:DragonHDLatestNeural"",""Locale"":""en-us"",""VoiceType"":""StandardVoice""}]}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""en-US""><voice name=""en-US-Ava:DragonHDLatestNeural"">are
</voice></speak>"
Untitled-0006,"is
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""cff02830-c816-45bf-ba0c-ab8bd0210a5e"",""Name"":""en-US-Ava:DragonHDLatestNeural"",""ShortName"":""en-US-Ava:DragonHDLatestNeural"",""Locale"":""en-us"",""VoiceType"":""StandardVoice""}]}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""en-US""><voice name=""en-US-Ava:DragonHDLatestNeural"">is
</voice></speak>"
Untitled-0007,"in the bottle
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""cff02830-c816-45bf-ba0c-ab8bd0210a5e"",""Name"":""en-US-Ava:DragonHDLatestNeural"",""ShortName"":""en-US-Ava:DragonHDLatestNeural"",""Locale"":""en-us"",""VoiceType"":""StandardVoice""}]}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""en-US""><voice name=""en-US-Ava:DragonHDLatestNeural"">in the bottle
</voice></speak>"
Untitled-0008,"the pill
","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""cff02830-c816-45bf-ba0c-ab8bd0210a5e"",""Name"":""en-US-Ava:DragonHDLatestNeural"",""ShortName"":""en-US-Ava:DragonHDLatestNeural"",""Locale"":""en-us"",""VoiceType"":""StandardVoice""}]}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""en-US""><voice name=""en-US-Ava:DragonHDLatestNeural"">the pill
</voice></speak>"
Untitled-0009,"for the ailment","<!--ID=B7267351-473F-409D-9765-754A8EBCDE05;Version=1|{""VoiceNameToIdMapItems"":[{""Id"":""cff02830-c816-45bf-ba0c-ab8bd0210a5e"",""Name"":""en-US-Ava:DragonHDLatestNeural"",""ShortName"":""en-US-Ava:DragonHDLatestNeural"",""Locale"":""en-us"",""VoiceType"":""StandardVoice""}]}-->
<speak version=""1.0"" xmlns=""http://www.w3.org/2001/10/synthesis"" xmlns:mstts=""http://www.w3.org/2001/mstts"" xmlns:emo=""http://www.w3.org/2009/10/emotionml"" xml:lang=""en-US""><voice name=""en-US-Ava:DragonHDLatestNeural"">for the ailment</voice></speak>"
